STOPS,STOP NUMBER
Yeshwanthpura T.T.M.C.,1
Yeshwanthpura Circle,2
Tata Institute (I.I.S.C.),3
Tata Institute (I.I.S.C.),4
C.P.R.I.,5
Mekhri Circle,6
Mekhri Circle,7
T.V.Tower,8
Munireddy Palya,9
J.C.Nagara,10
Jayamahal,11
Cantonment Railway Station,12
Csi Hospital,13
Gold Star Hotel,14
Indian Express,15
Shivajinagara Bus Station,16
B.M.T.C. Connactor,17
Maniksha Parade Ground,18
Manipal Centre,19
Electric B Station (M.G.Road),20
Trinity Circle / Lido Talkies,21
Halasuru Police Station,22
Halasuru,23
Lakshmipura,24
Double Road Indiranagara,25
Police Station Indiranagara,26
Indiranagar Police Station,27
6th Main Indiranagara,28
Indiranagara 12th Main,29
New Horizon School Indiranagara,30
Doopanahalli,31
Domlur Flyover,32
Dell,33
Military Bridge,34
Ejipura Signal (Srinivagilu),35
Sony World Koramangala,36
Sony World 80ft Road Koramangala,37
Canara Bank Koramangala,38
B.D.A.Complex Koramangala,39
Koramangala Water Tank,40
Koramangala Water Tank,41
Kudure Mukha Colony,42
Krupanidhi College,43
Madiwala,44
Central Silk Board Bus Station,45